word,lemma,POS,IC
tiro,tiro,nms,NC_o
fruta,fruta,nfs,NC_a
respeto,respeto,n,NC_o
bomba,bomba,nfs,NC_a
calma,calma,nfs,NC_a
vitamina,vitamina,nfs,NC_a
cartera,cartera,nfs,NC_a
.no,.no,n,NC_o
amo,amo,nms,NC_o
paseo,paseo,nms,NC_o
pollo,pollo,nms,NC_o
hilo,hilo,nms,NC_o
castellano,castellano,nms,NC_o
muchacho,muchacho,nms,NC_o
santo,santo,nms,NC_o
lago,lago,nms,NC_o
descarga,descarga,nfs,NC_a
estreno,estreno,nms,NC_o
esfera,esfera,nfs,NC_a
rojo,rojo,nms,NC_o
pasta,pasta,nfs,NC_a
gasolina,gasolina,nfs,NC_a
reina,reina,nfs,NC_a
visa,visa,nfs,NC_a
fantasía,fantasía,nfs,NC_a
compañera,compañera,n,NC_a
físico,físico,nms,NC_o
botella,botella,nfs,NC_a
grito,grito,nms,NC_o
harina,harina,nfs,NC_a
pescado,pescado,nms,NC_o
tormenta,tormenta,nfs,NC_a
video,video,n,NC_o
comedia,comedia,nfs,NC_a
queso,queso,nms,NC_o
condena,condena,nfs,NC_a
requisito,requisito,nms,NC_o
duelo,duelo,nms,NC_o
copa,copa,nfs,NC_a
camino,camino,n,NC_o
moto,moto,nms,NC_o
interesado,interesado,nms,NC_o
ego,ego,nms,NC_o
paradigma,paradigma,nms,NC_a
promedio,promedio,n,NC_o
genio,genio,nms,NC_o
misa,misa,nfs,NC_a
suicidio,suicidio,nms,NC_o
renuncia,renuncia,nfs,NC_a
rama,rama,nfs,NC_a
carpeta,carpeta,nfs,NC_a
articulo,artículo,n,NC_o
cristiano,cristiano,nms,NC_o
huella,huella,nfs,NC_a
hueso,hueso,nms,NC_o
trampa,trampa,nfs,NC_a
cansancio,cansancio,nms,NC_o
delantero,delantero,nms,NC_o
contra,contra,nms,NC_a
eco,eco,nms,NC_o
científico,científico,nms,NC_o
humano,humano,nms,NC_o
tesoro,tesoro,nms,NC_o
músico,músico,nms,NC_o
ala,ala,nfs,NC_a
horno,horno,nms,NC_o
delincuencia,delincuencia,nfs,NC_a
pierna,pierna,nms,NC_a
supuesto,supuesto,nms,NC_o
teclado,teclado,nms,NC_o
trigo,trigo,nms,NC_o
guerrilla,guerrilla,nfs,NC_a
palo,palo,nms,NC_o
encargado,encargado,nms,NC_o
obispo,obispo,nms,NC_o
marihuana,marihuana,nfs,NC_a
roca,roca,nfs,NC_a
fibra,fibra,nfs,NC_a
instituto,instituto,nms,NC_o
traslado,traslado,nms,NC_o
herida,herida,nfs,NC_a
fila,fila,nfs,NC_a
expectativa,expectativa,nfs,NC_a
media,media,n,NC_a
maquinaria,maquinaria,nfs,NC_a
unico,unico,n,NC_o
mayoria,mayoría,n,NC_a
manzana,manzana,nfs,NC_a
filósofo,filósofo,nms,NC_o
tubo,tubo,nms,NC_o
asesino,asesino,nms,NC_o
grano,grano,nms,NC_o
república,república,nfs,NC_a
tumba,tumba,nfs,NC_a
foco,foco,nms,NC_o
ministra,ministra,nfs,NC_a
hombro,hombro,nms,NC_o
llama,llama,nfs,NC_a
prójimo,prójimo,nms,NC_o
caza,caza,nms,NC_a
aliento,aliento,nms,NC_o
vacuna,vacuna,nfs,NC_a
euro,euro,nms,NC_o
protagonismo,protagonismo,nms,NC_o
trabajadora,trabajadora,n,NC_a
jurado,jurado,nms,NC_o
espectro,espectro,nms,NC_o
pleno,pleno,nms,NC_o
toro,toro,nms,NC_o
tramo,tramo,nms,NC_o
clínica,clínica,nfs,NC_a
soldado,soldado,nms,NC_o
maestra,maestra,nfs,NC_a
conocido,conocido,nms,NC_o
musica,música,n,NC_a
pozo,pozo,nms,NC_o
tía,tía,n,NC_a
lema,lema,nms,NC_a
camisa,camisa,nfs,NC_a
pasa,paso,n,NC_o
inocencia,inocencia,nfs,NC_a
manga,manga,nms,NC_a
anillo,anillo,nms,NC_o
comando,comando,nms,NC_o
talla,talla,nfs,NC_a
garganta,garganta,nms,NC_a
acero,acero,nms,NC_o
criatura,criatura,nfs,NC_a
futbolista,futbolista,nms,NC_a
hijo,hijo,n,NC_o
taza,taza,nfs,NC_a
muerto,muerto,nms,NC_o
culo,culo,nms,NC_o
comunismo,comunismo,nms,NC_o
cobro,cobro,nms,NC_o
barrera,barrera,nfs,NC_a
caña,caña,nfs,NC_a
orilla,orilla,nms,NC_a
siembra,siembra,nfs,NC_a
calentamiento,calentamiento,nms,NC_o
analista,analista,nms,NC_a
broma,broma,nfs,NC_a
arquitecto,arquitecto,nms,NC_o
punto,punto,n,NC_o
saco,saco,nms,NC_o
acta,acta,nfs,NC_a
fotógrafo,fotógrafo,nms,NC_o
trata,trata,nfs,NC_a
alta,alta,nfs,NC_a
queja,queja,nfs,NC_a
escritora,escritora,n,NC_a
privado,privado,nms,NC_o
descuento,descuento,nms,NC_o
prima,prima,nfs,NC_a
optimismo,optimismo,nms,NC_o
llanto,llanto,nms,NC_o
insulina,insulina,nfs,NC_a
corto,corto,nms,NC_o
pretexto,pretexto,nms,NC_o
palacio,palacio,nms,NC_o
bola,bola,nfs,NC_a
asco,asco,nms,NC_o
demonio,demonio,nms,NC_o
ganado,ganado,nms,NC_o
reposo,reposo,nms,NC_o
gimnasio,gimnasio,nms,NC_o
trono,trono,nms,NC_o
cabecera,cabecera,nfs,NC_a
imperialismo,imperialismo,nms,NC_o
ternura,ternura,nfs,NC_a
mina,mina,nfs,NC_a
rodilla,rodilla,nfs,NC_a
soja,soja,nfs,NC_a
intento,intento,n,NC_o
hueco,hueco,nms,NC_o
homicidio,homicidio,nms,NC_o
verbo,verbo,nms,NC_o
gota,gota,nfs,NC_a
pata,pata,nms,NC_a
prisa,prisa,nfs,NC_a
jugada,jugada,nfs,NC_a
casco,casco,nms,NC_o
embajada,embajada,nfs,NC_a
fauna,fauna,nfs,NC_a
instinto,instinto,nms,NC_o
economista,economista,nms,NC_a
princesa,princesa,nfs,NC_a
trayecto,trayecto,nms,NC_o
preso,preso,nms,NC_o
afecto,afecto,nms,NC_o
falla,falla,nfs,NC_a
barro,barro,nms,NC_o
gremio,gremio,nms,NC_o
portero,portero,nms,NC_o
psicólogo,psicólogo,nms,NC_o
estímulo,estímulo,nms,NC_o
informática,informática,nfs,NC_a
química,química,nfs,NC_a
coincidencia,coincidencia,nfs,NC_a
cintura,cintura,nfs,NC_a
lavado,lavado,nms,NC_o
monstruo,monstruo,nms,NC_o
dama,dama,nfs,NC_a
monopolio,monopolio,nms,NC_o
pasa,pasa,nfs,NC_a
bestia,bestia,nms,NC_a
rollo,rollo,nms,NC_o
parada,parada,nfs,NC_a
operativo,operativo,nms,NC_o
naranja,naranja,nms,NC_a
tercio,tercio,nms,NC_o
pesadilla,pesadilla,nfs,NC_a
sombrero,sombrero,nms,NC_o
candidata,candidata,n,NC_a
muchacha,muchacha,nfs,NC_a
rayo,rayo,nms,NC_o
retrato,retrato,nms,NC_o
comuna,comuna,nfs,NC_a
activo,activo,nms,NC_o
alivio,alivio,nms,NC_o
alerta,alerta,nms,NC_a
consejero,consejero,nms,NC_o
presa,presa,nfs,NC_a
doña,doña,nfs,NC_a
casa,caso,n,NC_o
vaca,vaca,nfs,NC_a
cuba,cuba,np,NC_a
coca,coca,nfs,NC_a
primaria,primaria,nfs,NC_a
pena,pena,n,NC_a
tonto,tonto,nms,NC_o
órbita,órbita,nfs,NC_a
alza,alza,nfs,NC_a
vela,vela,nfs,NC_a
circo,circo,nms,NC_o
directorio,directorio,nms,NC_o
