word,lemma_old,POS_old,IC_old,English,Animate,Innapropriate,Derivational,Potentially_Use,Other_POS,Span_Dic_Freq,Verb_Frequency,Adj_Frequency,Other_Freq,Regional_Use,Regional_dont_use,Use,log_freq,stim_list,lemma_new,POS_new,IC_new
giro,giro,nms    ,NC_O,"turn, spin, tour",,,,1,V,,1,,,,,0,,1,giro,nms,nc_o
grada,grada,nfs    ,NC_A,"staircase step, sieve, ",,,,1,V,,1,,,,,0,,1,grada,nfs,nc_a
grada,grada,nfs    ,NC_A,"staircase step, sieve, ",,,,1,V,,1,,,,,0,,1,grada,n,nc_a
grado,grado,nms    ,NC_O,"degree, grade, level, step",,,,1,V,,1,,,,,0,,1,grado,nms,nc_o
grado,grado,nms    ,NC_O,"degree, grade, level, step",,,,1,V,,1,,,,,0,,1,grado,n,nc_o
gramÃ¡tica,gramÃ¡tica,nfs    ,NC_A,grammar,,,,1,Adj,,,1,,,,0,,1,gramÃ¡tica,nfs,nc_a
gramÃ¡tico,gramÃ¡tico,nms    ,NC_O,grammarian,,,,1,Adj,,,1,,,,0,,1,gramÃ¡tico,nms,nc_o
grana,grana,nfs    ,NC_A,"seeding (planting of seeds)< cochineal, burgundy",,,,1,V,,1,,,,,0,,1,grana,nfs,nc_a
grana,grana,nfs    ,NC_A,"seeding (planting of seeds)< cochineal, burgundy",,,,1,V,,1,,,,,0,,1,grana,n,nc_a
granizada,granizada,nfs    ,NC_A,hailstorm,,,,1,V,,1,,,,,0,,1,granizada,nfs,nc_a
granizada,granizada,nfs    ,NC_A,hailstorm,,,,1,V,,1,,,,,0,,1,granizado,n,nc_o
granizado,granizado,nms    ,NC_O,slushie,,,,1,V,,1,,,,,0,,1,granizado,nms,nc_o
granizado,granizado,nms    ,NC_O,slushie,,,,1,V,,1,,,,,0,,1,granizado,n,nc_o
grano,grano,nms    ,NC_O,grain,,,,1,V,,1,,,,,0,,1,grano,nms,nc_o
grano,grano,nms    ,NC_O,grain,,,,1,V,,1,,,,,0,,1,grano,n,nc_o
guisa,guisa,nfs    ,NC_A,"manner, guise, way, habbit",,,,1,V,,1,,,,,0,,1,guisa,nfs,nc_a
guiso,guiso,nms    ,NC_O,stew,,,,1,V,,1,,,,,0,,1,guiso,nms,nc_o
helada,helada,nfs    ,NC_A,"frost, freezing, (SAL) handcuffs",,,,1,Adj/V,,1,1,,,,0,,1,helada,nfs,nc_a
helado,helado,nms    ,NC_O,icecream,,,,1,Adj/V,,1,1,,,,0,,1,helado,nms,nc_o
helado,helado,nms    ,NC_O,icecream,,,,1,Adj/V,,1,1,,,,0,,1,helado,n,nc_o
huma,huma,n,NC_A,(chile) tamale,,,,1,V,,1,,,,,0,,1,huma,n,nc_a
humo,humo,nms    ,NC_O,"smoke, steam, fume",,,,1,V,,1,,,,,0,,1,humo,nms,nc_o
humo,humo,nms    ,NC_O,"smoke, steam, fume",,,,1,V,,1,,,,,0,,1,humo,n,nc_o
leÃ±a,leÃ±a,nfs    ,NC_A,"firewood, kindling",,,,1,V,,1,,,,,0,,1,leÃ±a,nfs,nc_a
leÃ±a,leÃ±a,nfs    ,NC_A,"firewood, kindling",,,,1,V,,1,,,,,0,,1,leÃ±a,n,nc_a
leÃ±o,leÃ±o,nms    ,NC_O,"log, piece of wood, timber",,,,1,V,,1,,,,,0,,1,leÃ±o,nms,nc_o
libra,libra,nfs    ,NC_A,Libra (zodiac),,,,1,v,,1,,,,,0,,1,libra,nfs,nc_a
libro,libro,nms    ,NC_O,book,,,,1,v,,1,,,,,0,,1,libro,nms,nc_o
lima,lima,nms    ,NC_A,"lime, file (tool)",,,,1,V,,1,,,,,0,,1,lima,nms,nc_a
limo,limo,nms    ,NC_O,"mud, slime",,,,1,V,,1,,,,,0,,1,limo,nms,nc_o
llana,llana,nfs    ,NC_A,trowel,,,,1,Adj,,,1,,,,0,,1,llana,nfs,nc_a
llano,llano,nms    ,NC_O,plain (grass),,,,1,Adj,,,1,,,,0,,1,llano,nms,nc_o
manda,manda,nfs    ,NC_A,vow,,,,1,V,,1,,,,,0,,1,manda,nfs,nc_a
mando,mando,nms    ,NC_O,"command, remote control (SP)",,,,1,V,,1,,,,,0,,1,mando,nms,nc_o
manga,manga,n,NC_A,"sleeve, (tennis) set, manga",,,,1,V,,1,,,,,0,,1,manga,nms,nc_a
manga,manga,n,NC_A,"sleeve, (tennis) set, manga",,,,1,V,,1,,,,,0,,1,manga,n,nc_a
mango,mango,nms    ,NC_O,"handle, mango (fruit and tree)",,,,1,V,,1,,,,,0,,1,mango,nms,nc_o
mango,mango,nms    ,NC_O,"handle, mango (fruit and tree)",,,,1,V,,1,,,,,0,,1,mango,n,nc_o
marca,marca,nfs    ,NC_A,"brand (of clothes)< mark, pring, record",,,,1,V,,1,,,,,0,,1,marca,nfs,nc_a
marco,marco,nms    ,NC_O,"frame, fraemwork, ",,,,1,V,,1,,,,,0,,1,marco,nms,nc_o
marina,marina,nfs    ,NC_A,navy ,,,,1,Adj/V,,1,1,,,,0,,1,marina,nfs,nc_a
marina,marina,nfs    ,NC_A,navy ,,,,1,Adj/V,,1,1,,,,0,,1,marina,n,nc_a
marino,marino,nms    ,NC_O,"sailor, seaman",1,,,1,Adj/V,,1,1,,,,0,,1,marino,nms,nc_o
maya,maya,nms    ,NC_A,"maya person, language",1,,,1,Adj,,,1,,,,0,,1,maya,nms,nc_a
maya,maya,nms    ,NC_A,"maya person, language",1,,,1,Adj,,,1,,,,0,,1,maya,n,nc_a
mayo,mayo,nms    ,NC_O,may,,,,1,V,,1,,,,,0,,1,mayo,nms,nc_o
mayo,mayo,nms    ,NC_O,may,,,,1,V,,1,,,,,0,,1,mayo,n,nc_o
misa,misa,nfs    ,NC_A,mass (church),,,,1,V,,1,,,,,0,,1,misa,nfs,nc_a
misa,misa,nfs    ,NC_A,mass (church),,,,1,V,,1,,,,,0,,1,misa,n,nc_a
miso,miso,n,NC_O,miso (food),,,,1,V,,1,,,,,0,,1,miso,n,nc_o
moca,moca,nms    ,NC_A,V// misspelling of mocha???,,,,1,V,,1,,,,,0,,1,moca,nms,nc_a
moco,moco,nms    ,NC_O,"mucus, slime, ",,,,1,V,,1,,,,,0,,1,moco,nms,nc_o
