word,wordID_set,lemma,POS,Inflection_Class,Meaning,Animacy,Innapropriate?,Derivational Morpheme?,Potential,
frisa,{470087},frisa,nfs    ,NC_A,"frieze, (PR) blanket",,,,,V
friso,{213550},friso,nms    ,NC_O,"frieze, (PR) blanket",,,,,V
fruta,"{5760, 100774, 100870}",fruta,nfs    ,NC_A,Fruit,,,,1,V
fruto,"{46277, 28734}",fruto,n,NC_O,"any fruit from plant, any vegetable, profit from an activity",,,,1,V
fulana,"{87818, 230956}",fulana,nfs    ,NC_A,so-and-so,1,,,,
fulano,"{40100, 28174}",fulano,nms    ,NC_O,so-and-so,1,,,,
fumada,{182289},fumada,nfs    ,NC_A,puff (of cigarette),,,,,V/Adj
fumado,{158280},fumado,nms    ,NC_O,Adj/V,,,,,
funcionaria,{119378},funcionaria,n,NC_A,public official,1,,,,
funcionario,"{84434, 127772}",funcionario,nms    ,NC_O,public official,1,,,,
funda,{28603},funda,nfs    ,NC_A,"case, bag used to wrap and protect something",,,,1,V
fundo,"{145197, 77317}",fundo,nms    ,NC_O,"countryside, estate, farm",,,,1,V
física,{5413},física,nfs    ,NC_A,physicist,1,,,,
físico,"{6091, 76734}",físico,nms    ,NC_O,physicist,1,,,,
ga,"{157225, 290562, 220727}",ga,n,NC_A,,,,,,
gala,"{57045, 11981}",gala,nfs    ,NC_A,gala,,,,1,Adj
galena,{210856},galena,nfs    ,NC_A,doctor,1,,,,
galeno,{51908},galeno,n,NC_O,doctor,1,,,,
galilea,{183676},galilea,nfs    ,NC_A,?,,,,,
galileo,"{280076, 195302}",galileo,nms    ,NC_O,?,,,,,
galla,{1085391},gallo,n,NC_O,broad,1,,,,
galleguita,{1085399},galleguita,n,NC_A,little galician,1,,,,
galleguito,{735592},galleguito,n,NC_O,little galician,1,,,,
gallo,"{166052, 121935, 130195, 45621, 10230}",gallo,nms    ,NC_O,rooster,1,,,,
galo,"{140810, 119060}",galo,nms    ,NC_O,Gaulish Language,,,,1,Adj
gambita,{1085423},gambita,n,NC_A,?,,,,,
gambito,{290569},gambito,nms    ,NC_O,gambit,,,,,
gameta,{385025},gameta,n,NC_A,?,,,,,
gameto,{163622},gameto,nms    ,NC_O,gamete,,,,,
ganada,"{735616, 37442}",ganado,n,NC_O,"(AG) profit, gain, eranings",,,,1,Adj/V
ganado,"{46785, 24573}",ganado,n,NC_O,"livestock, cattle, swarm",,,,1,
gata,"{101076, 25501}",gata,nfs    ,NC_A,she-cat,1,,,,
gatita,{53031},gatito,n,NC_O,small cat,1,,,,
gatito,"{735685, 29150, 116471}",gatito,n,NC_O,small cat,1,,,,
gato,{38092},gato,nms    ,NC_O,cat,1,,,,
genia,{92959},genia,n,NC_A,?,,,,,
genio,"{6385, 148687}",genio,nms    ,NC_O,genius,1,,,,
gesta,{22549},gesta,nfs    ,NC_A,"feat, achievement, herioic deed",,,,1,V
gesto,{187981},gesto,nms    ,NC_O,"gesture, expression",,,,1,V
gimnasia,"{20872, 42478}",gimnasia,nfs    ,NC_A,Gymnastics,,,,1,
gimnasio,{84939},gimnasio,nms    ,NC_O,gymnasium,,,,1,
ginecologa,{102928},ginecóloga,n,NC_A,gynecologist,1,,,,
ginecologo,"{52557, 285966}",ginecólogo,n,NC_O,gynecologist,1,,,,
ginecóloga,{56711},ginecólogo,nfs    ,NC_O,gynecologist,1,,,,
ginecólogo,{183678},ginecólogo,nms    ,NC_O,gynecologist,1,,,,
gira,"{265677, 85847}",gira,nfs    ,NC_A,tour,,,,1,V
giro,"{5640, 1395762, 63667}",giro,nms    ,NC_O,"turn, spin, tour",,,,1,V
gitana,{65315},gitana,n,NC_A,gypsy,1,,,,
gitanilla,{200531},gitanilla,nfs    ,NC_A,little gypsy,1,,,,
gitanillo,{880250},gitanillo,n,NC_O,little gypsy,1,,,,
gitano,"{57458, 190997}",gitano,nms    ,NC_O,gypsy,1,,,,
go,{70461},go,n,NC_O,go game,,,,,
gorda,"{35017, 182778, 156291}",gorda,nfs    ,NC_A,fat woman,1,,,,
gordo,{51708},gordo,nms    ,NC_O,fat man,1,,,,
gorra,{20925},gorra,nfs    ,NC_A,"cap, ",,,,,
gorrita,{161531},gorrita,n,NC_A,beanie,,,,,
gorrito,{88395},gorrito,n,NC_O,"baby bonnet, (LA) condom",,,,,
gorro,{28520},gorro,nms    ,NC_O,"cap, hat",,,,,
grada,{38447},grada,nfs    ,NC_A,"staircase step, sieve, ",,,,1,V
grado,"{60938, 132003, 124231, 30743}",grado,nms    ,NC_O,"degree, grade, level, step",,,,1,V
grama,"{205497, 50002}",grama,nfs    ,NC_A,"grass, lawn (Carribean)",,,,1,
gramo,"{320132, 26076}",gramo,nms    ,NC_O,gram,,,,1,
gramática,{77371},gramática,nfs    ,NC_A,grammar,,,,1,Adj
