word,lemma,POS,IC,English,Animate,Innapropriate,Derivational,Potentially_Use,Other_POS,Span_Dic_Freq,Verb_Frequency,Adj_Frequency,Other_Freq,Regional_Use,Regional_dont_use,Use,log_freq,stim_list
mayo,mayo,nms    ,NC_O,may,,,,1,V,,1,,,,,0,,1
misa,misa,nfs    ,NC_A,mass (church),,,,1,V,,1,,,,,0,,1
miso,miso,n,NC_O,miso (food),,,,1,V,,1,,,,,0,,1
moca,moca,nms    ,NC_A,V// misspelling of mocha???,,,,1,V,,1,,,,,0,,1
moco,moco,nms    ,NC_O,"mucus, slime, ",,,,1,V,,1,,,,,0,,1
monta,monta,nfs    ,NC_A,"riding, mountain, total, importance",,,,1,V,,1,,,,,0,,1
monto,monto,nms    ,NC_O,amount,,,,1,V,,1,,,,,0,,1
morada,morada,nfs    ,NC_A,"abode, dwelling, resting place",,,,1,Adj,,,1,,,,0,,1
morado,morado,nms    ,NC_O,"purple, mulberry, bruise",,,,1,Adj,,,1,,,,0,,1
mosca,mosca,nfs    ,NC_A,fly (insect),,,,1,V,,1,,,,,0,,1
mosco,mosco,n,NC_O,mosquito,,,,1,V,,1,,,,,0,,1
papada,papada,nfs    ,NC_A,double chin,,,,1,V,1746,1,,,,,0,,1
papado,papado,nms    ,NC_O,papacy,,,1,1,V,3675,1,,,,,0,,1
pareja,pareja,nfs    ,NC_A,"couple, pair",,,,1,Adj,930990,,1,,,,0,,1
parejo,parejo,n,NC_O,"level, uniform",,,,1,Adj,0,,1,,,,0,,1
partida,partido,n,NC_O,"departure, game of card, certificate (of death)",,,,1,Adj,244972,,1,,,,0,,1
partido,partido,n,NC_O,"political party, sports game, advantage/benefit",,,,1,Adj,3563242,,1,,,,0,,1
pasa,paso,n,NC_O,Raisin,,,,1,Adj/V,45905,1,1,,,,0,,1
paso,paso,nms    ,NC_O,"pace, step, passage",,,,1,Adj/V,1486233,1,1,,,,0,,1
pasta,pasta,nfs    ,NC_A,"pasta, (SP) money",,,,1,V,66693,1,,,,,0,,1
pasto,pasto,n,NC_O,"pasture, lawn, grass, Pashto (Language)",,,,1,V,51528,1,,,,,0,,1
pela,pela,nfs    ,NC_A,"hit, beating",,,,1,V,4419,1,,,,,0,,1
pelo,pelo,n,NC_O,hair,,,,1,V,147588,1,,,,,0,,1
pero,pero,nms    ,NC_O,but (from conj.),,,,1,Conj,355361,,,1,,,0,,1
pica,pica,nfs    ,NC_A,"pike, lance, pick, spade (in cards)",,,,1,V,8064,1,,,,,0,,1
pico,pico,n,NC_O,"beak, sharp point, beak",,,,1,V,92324,1,,,,,0,,1
pincha,pincha,np,NC_A,DJ/disc-jockey (SP),,,,1,V,0,1,,,,,0,,1
pincho,pincho,nms    ,NC_O,"Skewer, shank, (PU) Penis",,1,,1,V,2749,1,,,,,0,,1
pisa,pisa,nfs    ,NC_A,"tread, stamp, brothel",,1,,1,V,603,1,,,,,0,,1
piso,piso,n,NC_O,"floor, level, tier,",,,,1,V,311483,1,,,,,0,,1
pita,pita,nfs    ,NC_A,"agave, pita fiber, pita bread",,,,1,V,2117,1,,,,,0,,1
pito,pito,nms    ,NC_O,"whistle, fife, catcall, penis",,1,,1,V,5570,1,,,,,0,,1
plástica,plástica,nfs    ,NC_A,art (school subject),,,,1,adj,6720,,1,,,,0,,1
plástico,plástico,nms    ,NC_O,plastic,,,,1,adj,135220,,1,,,,0,,1
plana,plana,nfs    ,NC_A,"face of paper, page of newspaper",,,,1,Adj,18853,,1,,,,0,,1
plano,plano,nms    ,NC_O," flat, street plan",,,,1,Adj,157575,,1,,,,0,,1
polla,polla,nfs    ,NC_A,"a young hen, a drink ",,,,1,Adj,1340,,1,,,,0,,1
pollo,pollo,nms    ,NC_O,"chicken meant, a young chick",,,,1,Adj,91988,,1,,,,0,,1
puesta,puesta,nfs    ,NC_A,"clutch (of eggs), sunset, tie/draw, placement",,,,1,Adj/V,408098,1,1,,,,0,,1
puesto,puesto,nms    ,NC_O,"market stall, professional position",,,,1,Adj/V,638728,1,1,,,,0,,1
puja,puja,nfs    ,NC_A,"bid, struggle",,,,1,V,22425,1,,,,,0,,1
pujo,pujo,nms    ,NC_O,(medicine) pushing,,,,1,V,187,1,,,,,0,,1
puntera,puntera,nfs    ,NC_A,"(computing) pointer, leader, outstanding person",1,,,1,Adj,1664,,1,,,,0,,1
puntero,puntero,nms    ,NC_O,toe (of a shoe),,,,1,Adj,31878,,1,,,,0,,1
quiebra,quiebra,nfs    ,NC_A,"crack, ravine, bancruptcy",,,,1,V,54718,1,,,,,0,,1
quiebro,quiebro,nms    ,NC_O,"dodge, swerve,",,,,1,V,841,1,,,,,0,,1
ría,ría,nfs    ,NC_A,mouth of a river,,,,1,V,8533,1,,,,,0,,1
río,río,nms    ,NC_O,river,,,,1,V,456810,1,,,,,0,,1
rastra,rastra,nfs    ,NC_A,"rake, harrow",,,,1,V,2836,1,,,,,0,,1
rastro,rastro,nms    ,NC_O,"sign, trace, trail, rake",,,,1,V,52074,1,,,,,0,,1
raya,raya,nfs    ,NC_A,"line, limit, scratch, ray",,,,1,V,25902,1,,,,,0,,1
rayo,rayo,nms    ,NC_O,"beem, ray (of sun), bolt of lightning",,,,1,V,38072,1,,,,,0,,1
rebaja,rebaja,nfs    ,NC_A,"sale, reduction",,,,1,V,51775,1,,,,,0,,1
rebajo,rebajo,nms    ,NC_O,rabbet,,,,1,V,294,1,,,,,0,,1
recta,recta,nfs    ,NC_A,straight line,,,,1,V,66843,1,,,,,0,,1
recto,recto,nms    ,NC_O,rectum,,,,1,V,6631,1,,,,,0,,1
renuncia,renuncia,nfs    ,NC_A,resignation,,,,1,V,235002,1,,,,,0,,1
renuncio,renuncio,nms    ,NC_O,"revoke, contradiction",,,,1,V,208,1,,,,,0,,1
resta,resta,nfs    ,NC_A,subtraction,,,,1,V,1679,1,,,,,0,,1
resto,resto,nms    ,NC_O,"rest, remainder",,,,1,V,1098773,1,,,,,0,,1
retícula,retícula,nfs    ,NC_A,grid,,,,1,V,420,1,,,,,0,,1
retículo,retículo,nms    ,NC_O,"reticule, (math) lattice",,,,1,V,148,1,,,,,0,,1
reversa,reverso,nj,NC_O,reverse (gear) (LA),,,,1,V,0,1,,,,,0,,1
reverso,reverso,nms    ,NC_O,"back, back side",,,,1,V,7704,1,,,,,0,,1
r�a,ria,n,NC_A,river,,,,1,V,8533,1,,,,,0,,1
r�o,rio,n,NC_O,mouth of river,,,,1,V,456810,1,,,,,0,,1
rueda,rueda,nfs    ,NC_A,"wheel, train",,,,1,V,351588,1,,,,,0,,1
ruedo,ruedo,nms    ,NC_O,"hem of garment, circle/ring (of people)",,,,1,V,22479,1,,,,,0,,1
seña,seña,nfs    ,NC_A,"sign, gest",,,,1,V,17318,1,,,,,0,,1
seño,seño,n,NC_O,"Miss (SP, MX)",,,,1,V,0,1,,,,,0,,1
siniestra,siniestra,nfs    ,NC_A,left hand,,,,1,Adj,170,,1,,,,0,,1
siniestro,siniestro,nms    ,NC_O,"accident, catastrophe",,,,1,Adj,111246,,1,,,,0,,1
sota,sota,nms    ,NC_A,"jack (of cards), insulent woman/hussy",,,,1,V/Prep,548,1,1,1,,,0,,1
soto,soto,nms    ,NC_O,"grove, copse",,,,1,V,886,1,,,,,0,,1
suma,suma,nfs    ,NC_A,"sum, addition",,,,1,Adj/V,212728,1,1,,,,0,,1
sumo,sumo,nms    ,NC_O,sumo (wrestling),,,,1,Adj/V,12470,1,1,,,,0,,1
tala,tala,nms    ,NC_A,"felling, cutting down",,,,1,V,24614,1,,,,,0,,1
talla,talla,nfs    ,NC_A,"size, height",,,,1,V,82567,1,,,,,0,,1
tallo,tallo,nms    ,NC_O,"stalk, stem",,,,1,V,4173,1,,,,,0,,1
talo,talo,n,NC_O,"stem, shaft, ",,,,1,V,0,1,,,,,0,,1
teja,teja,nms    ,NC_A,"roof tile, type of noodle",,,,1,V,3060,1,,,,,0,,1
tejo,tejo,nms    ,NC_O,"a shard, tile of a game, shuffleboard",,,,1,V,1763,1,,,,,0,,1
tinta,tinta,n,NC_A,writing ink,,,,1,Adj/V,30715,1,1,,,,0,,1
tinto,tinto,nms    ,NC_O,red wine,,,,1,Adj/V,3927,1,1,,,,0,,1
tirada,tirada,nfs    ,NC_A,"shooting, throw, edition",,,,1,Adj/V,15381,1,1,,,,0,,1
tirado,tirado,nms    ,NC_O,bum/hobo,,,,1,Adj/V,29379,1,1,,,,0,,1
toma,toma,nfs    ,NC_A,"conquest, dose, socket, shot",,,,1,V,223660,1,,,,,0,,1
tomo,tomo,nms    ,NC_O,"tome, volume",,,,1,V,20453,1,,,,,0,,1
trama,trama,n,NC_A,"weave, plot, grid, fabric",,,,1,V,148504,1,,,,,0,,1
tramo,tramo,nms    ,NC_O,"section, stretch",,,,1,V,258022,1,,,,,0,,1
tranca,tranca,nms    ,NC_A,"thick bar, door bolt",,,,1,V,2605,1,,,,,0,,1
tranco,tranco,nms    ,NC_O,"large step, jump",,,,1,V,1428,1,,,,,0,,1
trata,trata,nfs    ,NC_A,"trafficking, trade, slave-trade",,1,,1,V,822,1,,,,,0,,1
trato,trato,nms    ,NC_O,"treatment, deal, bargin, behavior",,,,1,V,150915,1,,,,,0,,1
traza,traza,nfs    ,NC_A,"trace, design, layout",,,,1,V,8457,1,,,,,0,,1
trazo,trazo,nms    ,NC_O,"line, outline, writing stroke",,,,1,V,11896,1,,,,,0,,1
trilla,trilla,nfs    ,NC_A,"gurnard (fish), threshing",,,,1,V,2453,1,,,,,0,,1
trillo,trillo,nms    ,NC_O,threshing board,,,,1,V,548,1,,,,,0,,1
tumba,tumba,nfs    ,NC_A,"grave, tomb, ",,,,1,V,56765,1,,,,,0,,1
tumbo,tumbo,nms    ,NC_O,"jolt, shake, shudder, monastic letters",,,,1,V,1048,1,,,,,0,,1
vacuna,vacuna,nfs    ,NC_A,vaccine,,,,1,Adj,70888,,1,,,,0,,1
vacuno,vacuno,nms    ,NC_O,"bovine, beef",,,,1,Adj,5960,,1,,,,0,,1
vara,vara,nfs    ,NC_A,"rod, pole",,,,1,"Adj, V",18047,1,1,,,,0,,1
varo,varo,n,NC_O,(MX) money,,,,1,"Adj, V",0,1,1,,,,0,,1
vela,vela,nfs    ,NC_A,"candle, sail",,,,1,V,22371,1,,,,,0,,1
velo,velo,nms    ,NC_O,veil,,,,1,v,9662,1,,,,,0,,1
venera,venera,nfs    ,NC_A,scallop shell,,,,1,V,198,1,,,,,0,,1
venero,venero,nms    ,NC_O,"spring, vein",,,,1,V,164,1,,,,192,0,,1
visa,visa,nfs    ,NC_A,"visa (LA), ",,,,1,V,74327,1,,,,,0,,1
viso,viso,nms    ,NC_O,"appearance, vantage point",,,,1,V,1666,1,,,,,0,,1
acta,acta,nfs    ,NC_A,"certificate, minutes/record, election results",,,,1,,102057,,,,,,1,2.29666519,1
acto,acto,n,NC_O,act,,,,1,,985877,,,,,,2,3.203032887,1
banda,banda,nfs    ,NC_A,band/gang,,,,1,,694090,,,,,,3,3.396199347,1
bando,bando,nms    ,NC_O,"Faction, party, swarm",,,,1,,37441,,,,,,4,2.359835482,1
baza,baza,nfs    ,NC_A,trick/ cuckoo-hawk,,,,1,,7660,,,,,,5,0.954242509,1
bazo,bazo,nms    ,NC_O,spleen,,,,1,,3259,,,,,,6,2.11058971,1
braza,braza,nfs    ,NC_A,breaststroke,,,,1,,2339,,,,,,7,0.477121255,1
brazo,brazo,nms    ,NC_O,"arm (anatomy), branch, limb (of a tree)",,,,1,,152960,,,,,,8,3.365300749,1
broma,broma,n,NC_A,joke,,,,1,,79971,,,,,,9,3.556664262,1
bromo,bromo,nms    ,NC_O,bromine/brome,,,,1,,356,,,,,,10,0,1
caballa,caballa,nfs    ,NC_A,mackerel,,,,1,,5001,,,,,,11,1.342422681,1
caballo,caballo,nms    ,NC_O,hourse,,,,1,,91887,,,,,,12,3.412796429,1
caca,caca,nfs    ,NC_A,poo,1,,,1,,4726,,,,,,13,2.669316881,1
caco,caco,nms    ,NC_O,thief,1,,,1,,905,,,,,,14,0,1
cantera,cantera,nfs    ,NC_A,"quarry, talent, academy",,,,1,,48517,,,,,,15,1.531478917,1
cantero,cantero,nms    ,NC_O,"quarry worker, stonemason",,,,1,,12854,,,,,,16,0,1
catalina,catalina,nfs    ,NC_A,"crankset, chainset",,,,1,,,,,,,,17,,1
catalino,catalino,n,NC_O,cold? ,,,,1,,,,,,,,18,,1
cebolla,cebolla,nfs    ,NC_A,onion,,,,1,,,,,,,,19,,1
cebollo,cebollo,n,NC_O,someone stupid,1,,,1,,,,,,,,20,,1
cepa,cepa,nfs    ,NC_A,"type of wine, strain, root, ancestry",,,,1,,17487,,,,,,21,1.903089987,1
cepo,cepo,nms    ,NC_O,"snare, trap shackle",,,,1,,12187,,,,,,22,1.230448921,1
cigarra,cigarra,nfs    ,NC_A,cicada,,,,1,,787,,,,,,23,1.041392685,1
cigarro,cigarro,nms    ,NC_O,cigar,,,,1,,12826,,,,,,24,2.491361694,1
cinta,cinta,n,NC_A,"ribbon, tape",,,,1,,255964,,,,,,25,3.381656483,1
cinto,cinto,nms    ,NC_O,belt,,,,1,,3326,,,,,,26,1.662757832,1
coca,coca,nfs    ,NC_A,coca plant; coca cola; cocaine,,,,1,,73109,,,,,,27,2.828659897,1
cochinilla,cochinilla,nfs    ,NC_A,"pill bug, cochineal",,,,1,,1190,,,,,,28,0.477121255,1
