word,lemma,POS,IC
salsa,salsa,nfs,nc_a
envío,envío,nms,nc_o
olvido,olvido,nms,nc_o
abandono,abandono,nms,nc_o
ingeniero,ingeniero,nms,nc_o
bicicleta,bicicleta,nfs,nc_a
escritorio,escritorio,nms,nc_o
autoestima,autoestima,nfs,nc_a
larga,larga,nfs,nc_a
aula,aula,nfs,nc_a
patio,patio,nms,nc_o
museo,museo,nms,nc_o
arco,arco,nms,nc_o
plástico,plástico,nms,nc_o
giro,giro,nms,nc_o
feria,feria,nfs,nc_a
senado,senado,nms,nc_o
descenso,descenso,nms,nc_o
envidia,envidia,nfs,nc_a
constancia,constancia,nfs,nc_a
viejo,viejo,nms,nc_o
tiro,tiro,nms,nc_o
fruta,fruta,nfs,nc_a
respeto,respeto,n,nc_o
bomba,bomba,nfs,nc_a
calma,calma,nfs,nc_a
vitamina,vitamina,nfs,nc_a
reflejo,reflejo,nms,nc_o
cartera,cartera,nfs,nc_a
dibujo,dibujo,nms,nc_o
normativa,normativa,nfs,nc_a
.no,.no,n,nc_o
amo,amo,nms,nc_o
paseo,paseo,nms,nc_o
pollo,pollo,nms,nc_o
hilo,hilo,nms,nc_o
castellano,castellano,nms,nc_o
muchacho,muchacho,nms,nc_o
santo,santo,nms,nc_o
lago,lago,nms,nc_o
descarga,descarga,nfs,nc_a
estreno,estreno,nms,nc_o
esfera,esfera,nfs,nc_a
privilegio,privilegio,nms,nc_o
rojo,rojo,nms,nc_o
ola,ola,nfs,nc_a
pasta,pasta,nfs,nc_a
gasolina,gasolina,nfs,nc_a
manifiesto,manifiesto,nms,nc_o
reina,reina,nfs,nc_a
temática,temática,nfs,nc_a
visa,visa,nfs,nc_a
fantasía,fantasía,nfs,nc_a
compañera,compañera,n,nc_a
físico,físico,nms,nc_o
botella,botella,nfs,nc_a
grito,grito,nms,nc_o
harina,harina,nfs,nc_a
pescado,pescado,nms,nc_o
retiro,retiro,nms,nc_o
tormenta,tormenta,nfs,nc_a
video,video,n,nc_o
comedia,comedia,nfs,nc_a
queso,queso,nms,nc_o
condena,condena,nfs,nc_a
reclamo,reclamo,nms,nc_o
requisito,requisito,nms,nc_o
duelo,duelo,nms,nc_o
copa,copa,nfs,nc_a
camino,camino,n,nc_o
moto,moto,nms,nc_o
interesado,interesado,nms,nc_o
ego,ego,nms,nc_o
paradigma,paradigma,nms,nc_a
promedio,promedio,n,nc_o
genio,genio,nms,nc_o
misa,misa,nfs,nc_a
suicidio,suicidio,nms,nc_o
renuncia,renuncia,nfs,nc_a
apuesta,apuesta,nfs,nc_a
rama,rama,nfs,nc_a
carpeta,carpeta,nfs,nc_a
articulo,artículo,n,nc_o
cristiano,cristiano,nms,nc_o
huella,huella,nfs,nc_a
hueso,hueso,nms,nc_o
trampa,trampa,nfs,nc_a
cansancio,cansancio,nms,nc_o
delantero,delantero,nms,nc_o
contra,contra,nms,nc_a
eco,eco,nms,nc_o
científico,científico,nms,nc_o
humano,humano,nms,nc_o
tesoro,tesoro,nms,nc_o
músico,músico,nms,nc_o
ala,ala,nfs,nc_a
horno,horno,nms,nc_o
delincuencia,delincuencia,nfs,nc_a
pierna,pierna,nms,nc_a
supuesto,supuesto,nms,nc_o
teclado,teclado,nms,nc_o
trigo,trigo,nms,nc_o
guerrilla,guerrilla,nfs,nc_a
palo,palo,nms,nc_o
encargado,encargado,nms,nc_o
obispo,obispo,nms,nc_o
lactancia,lactancia,n,nc_a
marihuana,marihuana,nfs,nc_a
roca,roca,nfs,nc_a
fibra,fibra,nfs,nc_a
instituto,instituto,nms,nc_o
traslado,traslado,nms,nc_o
herida,herida,nfs,nc_a
fila,fila,nfs,nc_a
expectativa,expectativa,nfs,nc_a
media,media,n,nc_a
maquinaria,maquinaria,nfs,nc_a
unico,unico,n,nc_o
mayoria,mayoría,n,nc_a
manzana,manzana,nfs,nc_a
filósofo,filósofo,nms,nc_o
tubo,tubo,nms,nc_o
asesino,asesino,nms,nc_o
grano,grano,nms,nc_o
república,república,nfs,nc_a
tumba,tumba,nfs,nc_a
foco,foco,nms,nc_o
ministra,ministra,nfs,nc_a
hombro,hombro,nms,nc_o
llama,llama,nfs,nc_a
prójimo,prójimo,nms,nc_o
caza,caza,nms,nc_a
aliento,aliento,nms,nc_o
vacuna,vacuna,nfs,nc_a
euro,euro,nms,nc_o
protagonismo,protagonismo,nms,nc_o
trabajadora,trabajadora,n,nc_a
jurado,jurado,nms,nc_o
espectro,espectro,nms,nc_o
pleno,pleno,nms,nc_o
toro,toro,nms,nc_o
tramo,tramo,nms,nc_o
clínica,clínica,nfs,nc_a
soldado,soldado,nms,nc_o
maestra,maestra,nfs,nc_a
conocido,conocido,nms,nc_o
musica,música,n,nc_a
pozo,pozo,nms,nc_o
tía,tía,n,nc_a
lema,lema,nms,nc_a
camisa,camisa,nfs,nc_a
pasa,paso,n,nc_o
inocencia,inocencia,nfs,nc_a
manga,manga,nms,nc_a
anillo,anillo,nms,nc_o
comando,comando,nms,nc_o
talla,talla,nfs,nc_a
garganta,garganta,nms,nc_a
acero,acero,nms,nc_o
criatura,criatura,nfs,nc_a
futbolista,futbolista,nms,nc_a
hijo,hijo,n,nc_o
taza,taza,nfs,nc_a
muerto,muerto,nms,nc_o
ronda,ronda,nms,nc_a
culo,culo,nms,nc_o
comunismo,comunismo,nms,nc_o
cobro,cobro,nms,nc_o
barrera,barrera,nfs,nc_a
caña,caña,nfs,nc_a
gozo,gozo,nms,nc_o
orilla,orilla,nms,nc_a
siembra,siembra,nfs,nc_a
calentamiento,calentamiento,nms,nc_o
analista,analista,nms,nc_a
broma,broma,nfs,nc_a
arquitecto,arquitecto,nms,nc_o
punto,punto,n,nc_o
saco,saco,nms,nc_o
acta,acta,nfs,nc_a
fotógrafo,fotógrafo,nms,nc_o
trata,trata,nfs,nc_a
alta,alta,nfs,nc_a
queja,queja,nfs,nc_a
escritora,escritora,n,nc_a
privado,privado,nms,nc_o
descuento,descuento,nms,nc_o
prima,prima,nfs,nc_a
optimismo,optimismo,nms,nc_o
subida,subida,nfs,nc_a
llanto,llanto,nms,nc_o
insulina,insulina,nfs,nc_a
corto,corto,nms,nc_o
pretexto,pretexto,nms,nc_o
palacio,palacio,nms,nc_o
bola,bola,nfs,nc_a
asco,asco,nms,nc_o
demonio,demonio,nms,nc_o
ganado,ganado,nms,nc_o
reposo,reposo,nms,nc_o
gimnasio,gimnasio,nms,nc_o
trono,trono,nms,nc_o
cabecera,cabecera,nfs,nc_a
cuerda,cuerda,nms,nc_a
imperialismo,imperialismo,nms,nc_o
ternura,ternura,nfs,nc_a
mina,mina,nfs,nc_a
rodilla,rodilla,nfs,nc_a
soja,soja,nfs,nc_a
intento,intento,n,nc_o
hueco,hueco,nms,nc_o
homicidio,homicidio,nms,nc_o
verbo,verbo,nms,nc_o
gota,gota,nfs,nc_a
pata,pata,nms,nc_a
prisa,prisa,nfs,nc_a
jugada,jugada,nfs,nc_a
casco,casco,nms,nc_o
embajada,embajada,nfs,nc_a
fauna,fauna,nfs,nc_a
instinto,instinto,nms,nc_o
economista,economista,nms,nc_a
princesa,princesa,nfs,nc_a
trayecto,trayecto,nms,nc_o
preso,preso,nms,nc_o
curva,curva,nfs,nc_a
afecto,afecto,nms,nc_o
falla,falla,nfs,nc_a
barro,barro,nms,nc_o
gremio,gremio,nms,nc_o
portero,portero,nms,nc_o
psicólogo,psicólogo,nms,nc_o
encanto,encanto,nms,nc_o
estímulo,estímulo,nms,nc_o
informática,informática,nfs,nc_a
química,química,nfs,nc_a
coincidencia,coincidencia,nfs,nc_a
cintura,cintura,nfs,nc_a
lavado,lavado,nms,nc_o
monstruo,monstruo,nms,nc_o
dama,dama,nfs,nc_a
monopolio,monopolio,nms,nc_o
pasa,pasa,nfs,nc_a
rosa,rosa,nms,nc_a
bestia,bestia,nms,nc_a
rollo,rollo,nms,nc_o
parada,parada,nfs,nc_a
operativo,operativo,nms,nc_o
naranja,naranja,nms,nc_a
tercio,tercio,nms,nc_o
pesadilla,pesadilla,nfs,nc_a
sombrero,sombrero,nms,nc_o
candidata,candidata,n,nc_a
muchacha,muchacha,nfs,nc_a
rayo,rayo,nms,nc_o
retrato,retrato,nms,nc_o
comuna,comuna,nfs,nc_a
activo,activo,nms,nc_o
alivio,alivio,nms,nc_o
alerta,alerta,nms,nc_a
consejero,consejero,nms,nc_o
presa,presa,nfs,nc_a
doña,doña,nfs,nc_a
casa,caso,n,nc_o
vaca,vaca,nfs,nc_a
cuba,cuba,np,nc_a
coca,coca,nfs,nc_a
primaria,primaria,nfs,nc_a
pena,pena,n,nc_a
tonto,tonto,nms,nc_o
órbita,órbita,nfs,nc_a
alza,alza,nfs,nc_a
vela,vela,nfs,nc_a
circo,circo,nms,nc_o
directorio,directorio,nms,nc_o
ganadora,ganadora,n,nc_a
biología,biología,nfs,nc_a
.la,.la,n,nc_a
negativa,negativa,nfs,nc_a
tinta,tinta,nfs,nc_a
desconocido,desconocido,nms,nc_o
burbuja,burbuja,nfs,nc_a
academia,academia,nfs,nc_a
logo,logo,nms,nc_o
elenco,elenco,nms,nc_o
cuna,cuna,nms,nc_a
castillo,castillo,nms,nc_o
narrativa,narrativa,nfs,nc_a
quiebra,quiebra,nfs,nc_a
cerdo,cerdo,nms,nc_o
textura,textura,nfs,nc_a
junta,junta,nfs,nc_a
ingesta,ingesta,nfs,nc_a
medalla,medalla,nfs,nc_a
monumento,monumento,nms,nc_o
globo,globo,nms,nc_o
ofensiva,ofensiva,nfs,nc_a
despido,despido,nms,nc_o
pico,pico,nms,nc_o
coro,coro,nms,nc_o
cebolla,cebolla,nfs,nc_a
pto,punto,n,nc_o
puta,puta,nfs,nc_a
corteza,corteza,nfs,nc_a
lobo,lobo,nms,nc_o
judía,judío,n,nc_o
supermercado,supermercado,nms,nc_o
crítico,crítico,nms,nc_o
escucha,escucha,nms,nc_a
anciano,anciano,nms,nc_o
cuchillo,cuchillo,nms,nc_o
despedida,despedida,nfs,nc_a
recibo,recibo,nms,nc_o
proletariado,proletariado,nms,nc_o
auditoría,auditoría,nfs,nc_a
pro,pro,nfs,nc_o
paja,paja,nfs,nc_a
rubro,rubro,nms,nc_o
genocidio,genocidio,nms,nc_o
hacienda,hacienda,nfs,nc_a
sospecha,sospecha,nfs,nc_a
escalera,escalera,nfs,nc_a
gallo,gallo,nms,nc_o
empleo,empleo,n,nc_o
árbitro,árbitro,n,nc_o
enamorado,enamorado,n,nc_o
fantasma,fantasma,nms,nc_a
directiva,directiva,nfs,nc_a
versículo,versículo,nms,nc_o
repertorio,repertorio,nms,nc_o
custodia,custodia,nfs,nc_a
aroma,aroma,nms,nc_a
pistola,pistola,nfs,nc_a
litro,litro,nms,nc_o
vocabulario,vocabulario,nms,nc_o
riego,riego,nms,nc_o
discípulo,discípulo,nms,nc_o
agrado,agrado,nms,nc_o
paradoja,paradoja,nfs,nc_a
feto,feto,nms,nc_o
bala,bala,nfs,nc_a
monitoreo,monitoreo,n,nc_o
sodio,sodio,nms,nc_o
palma,palma,nfs,nc_a
esclavo,esclavo,nms,nc_o
apoyo,apoyo,n,nc_o
prudencia,prudencia,nfs,nc_a
hormona,hormona,nfs,nc_a
pulso,pulso,nms,nc_o
podia,podia,n,nc_a
